index,Year_Birth,Education,Income,Kidhome,Teenhome
7,1.0776977671858303,5,-0.5395821890565204,1.0073812882604511,-0.8928161323690932
11,0.4163832282308924,1,-1.7469734108947181,-0.90806200631928,-0.8928161323690932
13,-1.3471222089822754,4,0.6652969295999225,1.0073812882604511,0.9473392549565187
29,-0.39189009715847617,5,1.8405890552268096,-0.90806200631928,-0.8928161323690932
30,1.3716153400546915,4,-1.585128837388704,-0.90806200631928,-0.8928161323690932
32,-0.02449313107239954,3,-0.20956626366081363,-0.90806200631928,0.9473392549565187
37,0.4163832282308924,2,-0.9925050886410427,1.0073812882604511,-0.8928161323690932
41,1.0776977671858303,4,-1.1394631247736953,1.0073812882604511,-0.8928161323690932
56,-0.31841070394126086,3,1.1739047830466751,-0.90806200631928,-0.8928161323690932
67,0.6368214078825384,2,2.0069461103741237,-0.90806200631928,0.9473392549565187
86,-0.02449313107239954,4,-0.4147213568374512,1.0073812882604511,0.9473392549565187
100,-0.7592870632445528,2,0.12886985943670073,-0.90806200631928,0.9473392549565187
105,0.6368214078825384,1,-0.9517531925814657,1.0073812882604511,-0.8928161323690932
117,0.5633420146653231,2,-0.39555493996924834,1.0073812882604511,-0.8928161323690932
127,-1.27364281576506,4,0.4324156605653992,1.0073812882604511,0.9473392549565187
134,-0.4653694903756915,5,-0.1629062730811838,1.0073812882604511,0.9473392549565187
136,0.4163832282308924,1,-1.6516995717052048,1.0073812882604511,-0.8928161323690932
141,0.4163832282308924,4,0.9327893980275112,-0.90806200631928,0.9473392549565187
149,-0.31841070394126086,4,0.21176926443460736,-0.90806200631928,-0.8928161323690932
163,0.3429038350136771,5,1.354311007840099,-0.90806200631928,-0.8928161323690932
183,1.004218373968615,4,-0.6780735070580737,1.0073812882604511,-0.8928161323690932
184,-0.6858076700273374,1,-0.7817210235201029,-0.90806200631928,-0.8928161323690932
186,-0.02449313107239954,5,-0.5931272031713299,-0.90806200631928,0.9473392549565187
190,0.5633420146653231,1,-0.9383553089454404,1.0073812882604511,-0.8928161323690932
236,0.8572595875341844,4,-0.9951567531106728,1.0073812882604511,-0.8928161323690932
239,-5.68240640879798,2,0.7038158450534953,-0.90806200631928,0.9473392549565187
245,-0.4653694903756915,5,-0.6218303080443425,1.0073812882604511,0.9473392549565187
268,-0.02449313107239954,3,1.2973234819576998,-0.90806200631928,-0.8928161323690932
271,0.9307389807513997,4,-0.6170852242565835,1.0073812882604511,-0.8928161323690932
280,0.783780194316969,1,-0.9570565215207257,1.0073812882604511,-0.8928161323690932
290,1.004218373968615,2,-0.5879634355199451,-0.90806200631928,-0.8928161323690932
292,0.7103008010997537,3,1.741919224698998,-0.90806200631928,-0.8928161323690932
295,-1.3471222089822754,4,0.5069879087200817,-0.90806200631928,0.9473392549565187
297,1.1511771604030456,4,-0.12406171462256875,1.0073812882604511,-0.8928161323690932
298,0.8572595875341844,3,1.0966808704223625,-0.90806200631928,-0.8928161323690932
301,-1.0532046361134142,2,0.6405015407874173,-0.90806200631928,0.9473392549565187
318,-1.4206016021994907,3,-0.6615122342302091,1.0073812882604511,0.9473392549565187
329,1.1511771604030456,5,-0.7003102722595324,1.0073812882604511,-0.8928161323690932
339,-5.2415300494946875,5,1.7900678690159642,-0.90806200631928,-0.8928161323690932
342,-0.09797252428961487,5,0.4726093114734751,-0.90806200631928,0.9473392549565187
344,0.19594504857924644,1,-0.8309861581400709,1.0073812882604511,-0.8928161323690932
370,1.004218373968615,2,-0.4358416317359078,1.0073812882604511,-0.8928161323690932
383,0.19594504857924644,2,-0.43565555001874073,2.9228245828401827,0.9473392549565187
392,1.665532912923553,3,1.3602656227894439,-0.90806200631928,-0.8928161323690932
394,-0.1714519175068302,4,1.1966997933996348,-0.90806200631928,0.9473392549565187
395,1.5185741264891224,5,1.099239494033409,-0.90806200631928,-0.8928161323690932
416,0.3429038350136771,2,-1.1752838553283464,1.0073812882604511,-0.8928161323690932
418,0.783780194316969,3,2.140506262870751,-0.90806200631928,-0.8928161323690932
435,-1.0532046361134142,4,0.27401359882697496,-0.90806200631928,0.9473392549565187
452,0.04898626214481579,4,-0.4104414773426098,1.0073812882604511,-0.8928161323690932
457,1.004218373968615,4,-0.1323888714657928,1.0073812882604511,-0.8928161323690932
459,0.8572595875341844,2,1.0053612677226482,-0.90806200631928,-0.8928161323690932
468,-1.4206016021994907,3,0.40645726102060015,-0.90806200631928,2.7874946422821307
484,-0.7592870632445528,4,1.7723435854558056,-0.90806200631928,-0.8928161323690932
502,1.445094733271907,1,-0.9664071278083685,-0.90806200631928,-0.8928161323690932
506,0.4163832282308924,3,0.9588873588601855,-0.90806200631928,0.9473392549565187
527,0.4898626214481077,4,0.24656654554483975,-0.90806200631928,-0.8928161323690932
529,-0.7592870632445528,5,0.19078855082402604,1.0073812882604511,0.9473392549565187
540,0.4898626214481077,2,-0.9182119630621107,1.0073812882604511,-0.8928161323690932
550,-0.5388488835929068,2,-0.2560866929525682,1.0073812882604511,0.9473392549565187
565,-1.494080995416706,5,0.330489399987165,-0.90806200631928,0.9473392549565187
598,0.5633420146653231,2,-0.8759248928359058,1.0073812882604511,-0.8928161323690932
